p,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
0,15,27,8,27,15,29,1,29,22,15,29,18,28,25,25,15,3,15,18,14,25,18,11,5,6,25,29,5,5
1,25,12,7,28,18,28,2,28,23,17,28,26,29,26,27,16,24,16,19,8,26,25,10,6,7,29,26,6,6
2,22,28,24,25,16,15,3,25,27,16,15,28,25,27,22,17,27,17,29,11,27,27,9,7,8,26,27,7,7
3,26,26,23,24,17,13,4,26,28,18,16,27,26,28,28,18,25,18,7,13,28,26,12,8,9,27,28,8,8
4,23,25,22,26,19,14,5,27,29,19,17,29,27,29,29,19,26,19,28,12,29,29,13,9,10,28,25,9,9
5,3,24,21,3,1,5,6,2,10,3,1,7,4,6,2,9,8,20,1,22,17,3,3,10,11,11,12,10,10
6,4,21,20,5,6,1,7,18,18,6,10,15,3,3,12,10,29,13,24,23,18,22,5,3,4,12,9,11,11
7,1,15,29,2,8,2,8,9,11,1,9,19,1,4,1,2,6,21,12,29,19,2,1,11,12,13,10,12,12
8,2,16,14,1,7,4,9,4,13,2,7,20,2,1,4,1,2,22,6,28,20,1,2,12,13,14,14,13,13
9,11,22,19,20,9,8,10,1,24,7,8,22,5,10,15,11,11,23,11,27,21,23,8,13,14,15,11,14,14
10,12,23,18,8,10,6,11,17,25,8,12,21,6,11,16,12,7,24,14,26,22,21,7,14,15,16,7,15,15
11,5,17,9,6,11,3,12,3,4,5,13,6,7,5,3,13,1,25,4,25,23,5,6,15,16,17,8,16,16
12,13,20,10,4,5,9,13,5,14,4,11,16,8,2,8,14,28,11,10,24,24,4,4,16,17,18,13,17,17
13,14,19,17,16,21,20,14,20,8,20,20,2,15,21,18,20,5,26,20,21,7,9,17,17,18,9,18,18,18
14,7,10,12,9,20,7,15,11,3,28,19,1,16,20,6,21,4,14,2,20,8,6,18,4,5,6,19,4,4
15,19,18,28,23,22,21,16,13,17,22,27,8,17,18,17,22,18,12,15,19,9,14,16,1,2,10,20,19,19
16,9,11,11,21,24,19,17,21,6,25,26,3,18,19,19,23,21,10,23,18,10,15,21,18,19,3,16,20,20
17,21,13,15,22,23,10,18,12,9,29,25,23,19,22,23,24,19,28,22,17,11,24,19,19,3,4,17,2,1
18,6,29,25,7,25,11,19,6,1,24,24,4,20,8,5,25,10,29,27,16,12,7,23,2,1,5,21,1,2
19,24,6,13,17,26,16,20,19,16,23,18,17,21,16,20,26,9,7,13,6,13,8,15,20,20,8,15,21,21
20,20,14,16,8,27,12,21,22,2,21,21,24,22,23,26,27,20,27,3,15,14,20,14,21,21,7,22,22,22
21,8,9,26,18,28,17,22,23,5,26,22,5,23,17,21,28,22,8,26,10,15,19,22,22,22,1,23,23,23
22,10,8,27,19,29,18,23,24,7,27,23,25,24,24,24,29,23,9,25,9,16,28,20,23,23,2,24,24,24
23,16,1,1,13,2,22,24,7,19,10,14,12,9,13,7,3,12,1,5,7,1,11,24,24,24,24,3,25,25
24,17,2,2,14,4,26,25,8,12,11,5,10,10,9,9,4,13,5,9,1,2,12,25,25,25,21,5,26,26
25,18,3,3,10,3,23,26,10,15,9,6,11,11,7,11,5,16,4,8,3,6,10,26,26,26,19,4,27,27
26,28,4,5,12,12,24,27,15,20,13,3,13,12,14,13,6,14,2,16,4,4,16,27,27,27,22,1,28,28
27,29,5,6,11,13,25,28,16,21,14,2,14,13,15,14,7,15,3,17,5,5,17,29,29,29,23,2,3,3
28,27,7,4,15,14,27,29,14,26,12,4,9,14,12,10,8,17,6,21,2,3,13,28,28,28,20,6,29,29
