s,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28
0,6,9,15,13,10,6,10,6,8,10,12,12,22,7,10,3,11,15,9,9,11,10,10,20,18,5,24,25,22
1,18,22,23,14,11,24,11,20,21,20,22,21,9,15,13,11,12,13,27,10,6,11,11,2,14,2,3,5,13
2,3,11,17,10,9,22,12,23,18,17,18,17,10,11,14,14,25,25,21,14,10,25,25,4,15,11,8,18,14
3,19,12,3,11,13,7,3,3,7,18,7,7,6,10,8,20,8,3,10,5,4,7,7,17,11,6,9,6,11
4,7,6,14,7,6,1,5,12,14,7,8,5,8,22,20,27,16,5,20,25,23,16,16,5,12,17,10,7,11
5,21,4,12,4,4,11,4,9,12,4,2,10,24,16,11,8,17,20,5,19,5,17,17,22,19,18,22,22,23
6,1,2,10,1,1,12,9,13,16,8,9,18,25,8,15,7,14,8,13,22,14,13,13,23,20,19,23,23,24
7,22,13,1,15,15,4,7,14,6,1,17,9,17,17,5,24,6,2,1,3,17,5,5,9,9,20,17,14,9
8,13,16,20,20,19,18,13,17,17,23,23,11,20,4,6,17,1,6,3,20,1,15,15,21,21,15,20,17,21
9,8,7,5,8,7,14,2,1,3,3,6,6,2,18,7,19,9,5,8,6,15,8,8,13,8,21,12,9,8
10,23,5,13,6,5,3,14,15,15,5,11,19,14,19,18,4,20,29,18,21,16,20,20,19,4,10,7,20,4
11,10,23,24,18,20,15,15,21,22,21,19,4,18,1,2,1,3,21,9,8,21,1,1,15,10,12,13,10,10
12,20,14,18,16,16,10,16,7,10,2,1,15,19,9,16,26,15,28,19,24,18,14,14,12,22,13,11,8,19
13,14,17,4,21,21,13,1,10,2,9,10,13,1,23,21,13,2,7,11,2,20,4,4,18,7,7,15,12,7
14,15,10,16,22,22,5,17,2,5,15,15,1,5,13,4,10,13,5,4,23,22,12,12,10,5,14,14,11,5
15,9,8,8,9,8,17,6,5,1,11,13,20,3,20,23,6,10,6,25,7,24,9,9,6,1,9,4,4,3
16,2,18,6,12,14,16,8,11,4,12,4,8,21,2,3,22,7,4,7,4,12,6,6,16,23,4,16,13,20
17,25,25,25,25,25,25,18,25,25,25,25,25,12,25,24,16,5,27,28,1,25,3,3,3,13,3,2,1,12
18,11,24,9,2,17,2,19,18,13,13,14,3,16,21,1,12,18,22,26,15,2,18,18,8,16,8,18,15,15
19,5,1,7,5,2,23,20,24,24,24,24,24,11,24,22,9,19,9,14,11,9,19,19,11,6,1,5,2,6
20,16,19,2,23,23,21,21,22,23,19,21,23,15,3,12,2,23,10,2,16,7,23,23,1,2,22,6,3,1
21,12,20,21,17,24,8,22,4,9,22,20,2,4,5,2,21,21,24,12,12,13,21,21,14,24,23,19,16,18
22,4,3,11,3,3,9,23,8,11,6,3,14,7,12,17,15,22,23,22,17,8,22,22,25,25,25,25,27,25
23,26,26,26,26,26,26,24,26,26,26,26,26,26,26,25,5,26,26,23,26,26,26,26,26,26,26,26,28,26
24,27,27,27,27,27,27,25,27,27,27,27,27,27,27,26,18,27,19,15,27,27,27,27,27,27,27,27,29,27
25,17,15,19,19,18,19,26,19,19,16,16,22,23,6,9,23,4,1,6,13,3,2,2,24,17,16,21,21,16
26,24,21,22,24,12,20,27,16,20,14,5,16,13,14,19,25,24,18,24,18,19,24,24,7,3,24,1,19,2
27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,28,28,17,16,28,28,28,28,28,28,28,28,24,28
28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,29,29,16,17,29,29,29,29,29,29,29,29,26,29
