s,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
s0,4,1,6,15,14,2,11,8,6,8,7,13,6,8,7,9
s1,2,13,2,14,6,12,3,10,2,1,2,2,5,12,12,4
s2,3,12,1,13,9,11,10,4,9,14,3,11,13,6,11,7
s3,10,4,9,10,8,9,7,5,1,10,8,8,12,5,1,6
s4,6,5,10,12,3,4,4,11,4,5,5,10,8,1,2,12
s5,14,14,14,11,11,14,14,1,14,12,9,16,9,14,14,14
s6,15,15,15,3,5,15,15,15,15,11,10,15,10,15,15,15
s7,9,6,11,2,12,10,8,14,10,9,11,9,1,2,3,3
s8,12,10,4,8,4,6,9,3,5,6,12,7,14,13,13,1
s9,13,3,8,1,1,5,12,12,7,4,13,4,11,9,8,2
s10,11,7,13,6,7,7,5,9,11,15,6,1,3,3,4,10
s11,5,11,12,5,2,13,1,2,3,2,14,5,7,11,9,13
s12,7,2,3,8,10,3,6,6,12,13,15,12,15,10,10,8
s13,1,8,5,9,13,1,13,13,13,7,4,6,4,4,5,11
s14,16,16,16,4,16,16,16,16,16,16,16,14,16,16,16,16
s15,8,9,7,7,15,8,2,7,8,3,1,3,2,7,6,5
